name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,"runtime,,"
Belle Epoque,R,Comedy,1992,"February 25, 1994 (United States)",7.1,9700,FERNANDO TRUEBA,Rafael Azcona,Fernando Fernán Gómez,SPAIN,0,5418216.0,Animatógrafo,"109.0,"
Knight Moves,R,Crime,1992,"January 22, 1993 (United States)",6.1,8100,CARL SCHENKEL,Brad Mirman,Christopher Lambert,UNITED STATES,9000000,923418.0,Cineplex Odeon Films,"116.0,"
Light Sleeper,R,Crime,1992,"March 13, 1992 (United Kingdom)",6.8,6300,PAUL SCHRADER,Paul Schrader,Willem Dafoe,UNITED STATES,5000000,1055987.0,Carolco Pictures,"103.0,"
A Midnight Clear,R,Drama,1992,"April 24, 1992 (United States)",7.2,8500,KEITH GORDON,William Wharton,Peter Berg,UNITED STATES,5000000,1526697.0,A&M Films,"108.0,"
Bob Roberts,R,Comedy,1992,"September 4, 1992 (United States)",7.0,13000,TIM ROBBINS,Tim Robbins,Tim Robbins,UNITED STATES,0,4479470.0,Miramax,"102.0,"
Sarafina!,PG-13,Drama,1992,"September 25, 1992 (United States)",6.3,1900,DARRELL ROODT,Mbongeni Ngema,Whoopi Goldberg,SOUTH AFRICA,0,7306242.0,British Broadcasting Corporation (BBC),"117.0,"
In the Soup,R,Comedy,1992,"August 13, 1992 (Germany)",7.1,3400,ALEXANDRE ROCKWELL,Sollace Mitchell,Steve Buscemi,UNITED STATES,0,256249.0,Alliance Communications Corporation,"93.0,"
A Stranger Among Us,PG-13,Crime,1992,"July 17, 1992 (United States)",5.6,3600,SIDNEY LUMET,Robert J. Avrech,Melanie Griffith,UNITED STATES,18000000,12282994.0,Hollywood Pictures,"110.0,"
Where the Day Takes You,R,Crime,1992,"September 11, 1992 (United States)",6.6,3200,MARC ROCCO,Michael Hitchcock,Dermot Mulroney,UNITED STATES,3000000,390152.0,Cinetel Films,"105.0,"
Passion Fish,R,Drama,1992,"December 11, 1992 (United States)",7.4,5200,JOHN SAYLES,John Sayles,Mary McDonnell,UNITED STATES,3330000,4814619.0,Atchafalaya,"135.0,"
That Night,PG-13,Drama,1992,"August 6, 1993 (United States)",6.6,2600,CRAIG BOLOTIN,Alice McDermott,C. Thomas Howell,FRANCE,0,20194.0,Alcor Films,"89.0,"
Gas Food Lodging,R,Drama,1992,"July 10, 1992 (United States)",6.6,3700,ALLISON ANDERS,Allison Anders,Brooke Adams,UNITED STATES,0,1342613.0,Cineville,"101.0,"
American Heart,R,Crime,1992,"May 7, 1993 (United States)",6.7,3200,MARTIN BELL,Peter Silverman,Jeff Bridges,UNITED STATES,10000000,384048.0,Avenue Pictures,"113.0,"
The Babe,PG,Biography,1992,"April 17, 1992 (United States)",5.9,9300,ARTHUR HILLER,John Fusco,John Goodman,UNITED STATES,0,19930973.0,Universal Pictures,"115.0,"
Christopher Columbus: The Discovery,PG-13,Adventure,1992,"August 21, 1992 (United States)",4.5,2800,JOHN GLEN,Mario Puzo,Marlon Brando,UNITED KINGDOM,40000000,8251071.0,Christopher Columbus Productions,"120.0,"
Prelude to a Kiss,PG-13,Comedy,1992,"July 10, 1992 (United States)",5.6,7700,NORMAN RENÉ,Craig Lucas,Meg Ryan,UNITED STATES,0,22697691.0,Gruskoff/Levy Company,"105.0,"
The Best Intentions,Not Rated,Biography,1992,"July 10, 1992 (United States)",7.8,3000,BILLE AUGUST,Ingmar Bergman,Samuel Fröler,SWEDEN,0,1253106.0,SVT Drama,"182.0,"
The Public Eye,R,Crime,1992,"October 16, 1992 (United States)",6.5,3500,HOWARD FRANKLIN,Howard Franklin,Joe Pesci,UNITED STATES,15000000,3067917.0,Universal Pictures,"99.0,"
Article 99,R,Comedy,1992,"March 13, 1992 (United States)",6.1,3100,HOWARD DEUTCH,Ron Cutler,Ray Liotta,UNITED STATES,18000000,6375979.0,Orion Pictures,"100.0,"
The Mambo Kings,R,Drama,1992,"February 28, 1992 (United States)",6.4,5200,ARNE GLIMCHER,Oscar Hijuelos,Armand Assante,FRANCE,15500000,6742168.0,Alcor Films,"104.0,"
Into the West,PG,Adventure,1992,"September 17, 1993 (United States)",7.0,2800,MIKE NEWELL,Jim Sheridan,Gabriel Byrne,IRELAND,0,4790801.0,Channel Four Films,"97.0,"
The Playboys,PG-13,Drama,1992,"April 22, 1992 (United States)",6.3,1100,GILLIES MACKINNON,Shane Connaughton,Albert Finney,UNITED STATES,0,4906900.0,Green Umbrella Ltd.,"117.0,"
City of Joy,PG-13,Drama,1992,"April 17, 1992 (United States)",6.5,4900,ROLAND JOFFÉ,Dominique Lapierre,Patrick Swayze,FRANCE,27000000,14683921.0,Allied Filmmakers,"132.0,"
Straight Talk,PG,Comedy,1992,"April 3, 1992 (United States)",5.8,3500,BARNET KELLMAN,Craig Bolotin,Dolly Parton,UNITED STATES,0,21202099.0,Hollywood Pictures,"91.0,"
Qing shao nian nuo zha,Not Rated,Crime,1992,"August 4, 1994 (Netherlands)",7.6,4000,MING-LIANG TSAI,Ming-liang Tsai,Chao-jung Chen,TAIWAN,0,28791.0,Central Motion Pictures,"106.0,"
Love Field,PG-13,Drama,1992,"February 12, 1993 (United States)",6.6,3800,JONATHAN KAPLAN,Don Roos,Michelle Pfeiffer,UNITED STATES,18000000,1014726.0,Orion Pictures,"105.0,"
Mr. Saturday Night,R,Comedy,1992,"September 25, 1992 (United States)",5.9,4500,BILLY CRYSTAL,Billy Crystal,Billy Crystal,UNITED STATES,43000000,13351357.0,Castle Rock Entertainment,"119.0,"
Twin Dragons,PG-13,Action,1992,"April 9, 1999 (United States)",6.5,11000,RINGO LAM,Barry Wong,Jackie Chan,HONG KONG,10000000,8359717.0,Golden Way Films Ltd.,"104.0,"
Aces: Iron Eagle III,R,Action,1992,"June 12, 1992 (United States)",3.7,2700,JOHN GLEN,Kevin Alyn Elders,Louis Gossett Jr.,UNITED KINGDOM,0,2517600.0,Carolco Pictures,"98.0,"
The Living End,Unrated,Comedy,1992,"August 21, 1992 (United States)",6.5,2900,GREGG ARAKI,Gregg Araki,Mike Dytri,UNITED STATES,22769,692585.0,Desperate Pictures,"81.0,"
Simple Men,R,Crime,1992,"November 6, 1992 (United Kingdom)",7.2,4100,HAL HARTLEY,Hal Hartley,Robert John Burke,ITALY,3000000,143010.0,American Playhouse,"105.0,"
Guncrazy,R,Crime,1992,"September 9, 1993 (Australia)",5.5,2200,TAMRA DAVIS,Matthew Bright,Drew Barrymore,UNITED STATES,800000,114516.0,Zeta Entertainment,"97.0,"
Folks!,PG-13,Comedy,1992,"May 1, 1992 (United States)",5.7,2500,TED KOTCHEFF,Robert Klane,Tom Selleck,UNITED STATES,15000000,6132924.0,Penta Pictures,"107.0,"
Léolo,Not Rated,Comedy,1992,"April 2, 1993 (United States)",7.5,6700,JEAN-CLAUDE LAUZON,Jean-Claude Lauzon,Maxime Collin,CANADA,0,611703.0,Alliance Films Corporation,"107.0,"
Night and the City,R,Comedy,1992,"October 23, 1992 (United States)",5.8,4600,IRWIN WINKLER,Gerald Kersh,Robert De Niro,UNITED STATES,20000000,6202756.0,Penta Films,"105.0,"
Whispers in the Dark,R,Drama,1992,"August 7, 1992 (United States)",5.6,2000,CHRISTOPHER CROWE,Christopher Crowe,Annabella Sciorra,UNITED STATES,18000000,11124511.0,Paramount Pictures,"103.0,"
Zebrahead,R,Drama,1992,"October 23, 1992 (United States)",6.3,1200,ANTHONY DRAZAN,Anthony Drazan,Michael Rapaport,UNITED STATES,0,1557771.0,Ixtlan,"100.0,"
Hyenas,Not Rated,Comedy,1992,"April 26, 2019 (United States)",7.4,1000,DJIBRIL DIOP MAMBÉTY,Friedrich Dürrenmatt,Mansour Diouf,SWITZERLAND,0,24672.0,Thelma Film AG,"110.0,"
A Tale of Winter,Not Rated,Drama,1992,"January 29, 1992 (France)",7.3,4400,ÉRIC ROHMER,Éric Rohmer,Charlotte Véry,FRANCE,0,52431.0,Compagnie Eric Rohmer (CER),"114.0,"
Man Trouble,PG-13,Comedy,1992,"July 17, 1992 (United States)",4.7,3000,BOB RAFELSON,Carole Eastman,Jack Nicholson,UNITED STATES,30000000,4096030.0,Penta Entertainment,"100.0,"
Brain Donors,PG,Comedy,1992,"April 17, 1992 (United States)",7.1,4100,DENNIS DUGAN,Pat Proft,John Turturro,UNITED STATES,0,918239.0,Paramount Pictures,"80.0,"
Out on a Limb,PG,Comedy,1992,"September 4, 1992 (United States)",5.3,1600,FRANCIS VEBER,Daniel Goldin,Matthew Broderick,UNITED STATES,0,1659542.0,Interscope Communications,"93.0,"
Traces of Red,R,Crime,1992,"November 11, 1992 (United States)",5.2,1500,ANDY WOLK,Jim Piddock,Jim Belushi,UNITED STATES,0,3206714.0,The Samuel Goldwyn Company,"105.0,"
Storyville,R,Drama,1992,"September 30, 1992 (France)",5.8,1100,MARK FROST,Frank Galbally,James Spader,UNITED STATES,0,422503.0,Davis Entertainment,"113.0,"
Map of the Human Heart,R,Adventure,1992,"May 14, 1993 (United States)",7.1,3100,VINCENT WARD,Louis Nowra,Jason Scott Lee,AUSTRALIA,0,2806881.0,Australian Film Finance Corporation (AFFC),"109.0,"
Ruby Cairo,PG-13,Mystery,1992,"October 29, 1993 (United States)",5.0,2100,GRAEME CLIFFORD,Robert Dillon,Andie MacDowell,UNITED STATES,24000000,608866.0,Majestic Films International,"90.0,"
The Waterdance,R,Drama,1992,"May 13, 1992 (United States)",6.8,2600,NEAL JIMENEZ,Neal Jimenez,Eric Stoltz,UNITED STATES,2700000,1723319.0,No Frills Film Production,"106.0,"
Year of the Comet,PG-13,Action,1992,"April 24, 1992 (United States)",5.8,1500,PETER YATES,William Goldman,Penelope Ann Miller,UNITED STATES,0,2791515.0,Castle Rock Entertainment,"91.0,"
This Is My Life,PG-13,Drama,1992,"February 21, 1992 (United States)",6.1,1100,NORA EPHRON,Meg Wolitzer,Julie Kavner,UNITED STATES,0,2922094.0,Twentieth Century Fox,"105.0,"
Mistress,R,Comedy,1992,"July 24, 1992 (United States)",5.4,2100,BARRY PRIMUS,Barry Primus,Robert Wuhl,UNITED STATES,0,1102469.0,Meir Teper,"110.0,"
Passed Away,PG-13,Comedy,1992,"April 24, 1992 (United States)",5.8,1200,CHARLIE PETERS,Charlie Peters,Bob Hoskins,UNITED STATES,0,4030793.0,Hollywood Pictures,"96.0,"
Blame It on the Bellboy,PG-13,Comedy,1992,"March 6, 1992 (United States)",5.5,2500,MARK HERMAN,Mark Herman,Bronson Pinchot,UNITED KINGDOM,0,3104545.0,Bellboy Films Limited,"78.0,"
Leaving Normal,R,Comedy,1992,"April 29, 1992 (United States)",6.6,1300,EDWARD ZWICK,Ed Solomon,Christine Lahti,UNITED STATES,0,1514114.0,Mirage Entertainment,"110.0,"
House of Angels,R,Comedy,1992,"August 6, 1993 (United States)",6.4,4500,COLIN NUTLEY,Colin Nutley,Helena Bergström,SWEDEN,0,9481984.0,Memfis Film,"127.0,"
The Long Day Closes,PG,Biography,1992,"May 28, 1993 (United States)",7.4,3000,TERENCE DAVIES,Terence Davies,Leigh McCormack,UNITED KINGDOM,0,22765.0,British Film Institute (BFI),"85.0,"
Shadow of the Wolf,PG-13,Adventure,1992,"March 5, 1993 (United States)",5.7,876,JACQUES DORFMANN,Jacques Dorfmann,Lou Diamond Phillips,FRANCE,0,1434174.0,Vision International,"112.0,"
The Gun in Betty Lou's Handbag,PG-13,Comedy,1992,"August 21, 1992 (United States)",5.1,1600,ALLAN MOYLE,Grace Cary Bickley,Penelope Ann Miller,UNITED STATES,13000000,3721911.0,In The Bag Productions,"89.0,"
Tombstone,R,Action,1993,"December 25, 1993 (United States)",7.8,132000,GEORGE P. COSMATOS,Kevin Jarre,Kurt Russell,UNITED STATES,25000000,56505065.0,Hollywood Pictures,"130.0,"
The Sandlot,PG,Comedy,1993,"April 7, 1993 (United States)",7.8,82000,DAVID MICKEY EVANS,David Mickey Evans,Tom Guiry,UNITED STATES,0,34348443.0,Twentieth Century Fox,"101.0,"
Jurassic Park,PG-13,Action,1993,"June 11, 1993 (United States)",8.1,894000,STEVEN SPIELBERG,Michael Crichton,Sam Neill,UNITED STATES,63000000,1033928303.0,Universal Pictures,"127.0,"
Dazed and Confused,R,Comedy,1993,"September 24, 1993 (United States)",7.6,171000,RICHARD LINKLATER,Richard Linklater,Jason London,UNITED STATES,6900000,7993039.0,Gramercy Pictures (I),"102.0,"
Schindler's List,R,Biography,1993,"February 4, 1994 (United States)",8.9,1200000,STEVEN SPIELBERG,Thomas Keneally,Liam Neeson,UNITED STATES,22000000,322161245.0,Universal Pictures,"195.0,"
True Romance,R,Crime,1993,"September 10, 1993 (United States)",7.9,212000,TONY SCOTT,Quentin Tarantino,Christian Slater,UNITED STATES,13000000,13088850.0,Morgan Creek Entertainment,"119.0,"
Naked,Not Rated,Comedy,1993,"February 4, 1994 (United States)",7.8,36000,MIKE LEIGH,Mike Leigh,David Thewlis,UNITED KINGDOM,0,1769305.0,Thin Man Films,"132.0,"
Robin Hood: Men in Tights,PG-13,Adventure,1993,"July 28, 1993 (United States)",6.7,119000,MEL BROOKS,J.D. Shapiro,Cary Elwes,FRANCE,20000000,35739755.0,Brooksfilms,"104.0,"
A Bronx Tale,R,Crime,1993,"October 1, 1993 (United States)",7.8,132000,ROBERT DE NIRO,Chazz Palminteri,Robert De Niro,UNITED STATES,22000000,17287898.0,Price Entertainment,"121.0,"
What's Eating Gilbert Grape,PG-13,Drama,1993,"March 4, 1994 (United States)",7.7,221000,LASSE HALLSTRÖM,Peter Hedges,Johnny Depp,UNITED STATES,11000000,10032765.0,Paramount Pictures,"118.0,"
Hocus Pocus,PG,Comedy,1993,"July 16, 1993 (United States)",6.9,106000,KENNY ORTEGA,David Kirschner,Bette Midler,UNITED STATES,28000000,44947705.0,Walt Disney Pictures,"96.0,"
Carlito's Way,R,Crime,1993,"November 12, 1993 (United States)",7.9,206000,BRIAN DE PALMA,Edwin Torres,Al Pacino,UNITED STATES,30000000,63848322.0,Universal Pictures,"144.0,"
Mrs. Doubtfire,PG-13,Comedy,1993,"November 24, 1993 (United States)",7.0,252000,CHRIS COLUMBUS,Anne Fine,Robin Williams,UNITED STATES,25000000,441286195.0,Twentieth Century Fox,"125.0,"
The Fugitive,PG-13,Action,1993,"August 6, 1993 (United States)",7.8,275000,ANDREW DAVIS,Jeb Stuart,Harrison Ford,UNITED STATES,44000000,368875760.0,Warner Bros.,"130.0,"
Demolition Man,R,Action,1993,"October 8, 1993 (United States)",6.7,163000,MARCO BRAMBILLA,Peter M. Lenkov,Sylvester Stallone,UNITED STATES,57000000,58055768.0,Warner Bros.,"115.0,"
Dennis the Menace,PG,Comedy,1993,"June 25, 1993 (United States)",5.6,58000,NICK CASTLE,Hank Ketcham,Walter Matthau,UNITED STATES,0,117270765.0,Warner Bros.,"94.0,"
Falling Down,R,Action,1993,"February 26, 1993 (United States)",7.6,177000,JOEL SCHUMACHER,Ebbe Roe Smith,Michael Douglas,UNITED STATES,25000000,40903593.0,Alcor Films,"113.0,"
The Pelican Brief,PG-13,Crime,1993,"December 17, 1993 (United States)",6.6,81000,ALAN J. PAKULA,John Grisham,Julia Roberts,UNITED STATES,45000000,195268056.0,Warner Bros.,"141.0,"
The Firm,R,Drama,1993,"June 30, 1993 (United States)",6.8,124000,SYDNEY POLLACK,John Grisham,Tom Cruise,UNITED STATES,42000000,270248367.0,Davis Entertainment,"154.0,"
Last Action Hero,PG-13,Action,1993,"June 18, 1993 (United States)",6.4,141000,JOHN MCTIERNAN,Zak Penn,Arnold Schwarzenegger,UNITED STATES,85000000,137298489.0,Columbia Pictures,"130.0,"
Sister Act 2: Back in the Habit,PG,Comedy,1993,"December 10, 1993 (United States)",5.6,50000,BILL DUKE,James Orr,Whoopi Goldberg,UNITED STATES,38000000,57319029.0,Touchstone Pictures,"107.0,"
Groundhog Day,PG,Comedy,1993,"February 12, 1993 (United States)",8.0,589000,HAROLD RAMIS,Danny Rubin,Bill Murray,UNITED STATES,14600000,71074049.0,Columbia Pictures,"101.0,"
Philadelphia,PG-13,Drama,1993,"January 14, 1994 (United States)",7.7,229000,JONATHAN DEMME,Ron Nyswaner,Tom Hanks,UNITED STATES,26000000,206678440.0,TriStar Pictures,"125.0,"
Super Mario Bros.,PG,Adventure,1993,"May 28, 1993 (United States)",4.1,50000,ANNABEL JANKEL,Parker Bennett,Bob Hoskins,UNITED KINGDOM,48000000,20915465.0,Allied Filmmakers,"104.0,"
Sleepless in Seattle,PG,Comedy,1993,"June 25, 1993 (United States)",6.8,165000,NORA EPHRON,Jeff Arch,Tom Hanks,UNITED STATES,21000000,227927165.0,TriStar Pictures,"105.0,"
Cliffhanger,R,Action,1993,"May 28, 1993 (United States)",6.4,122000,RENNY HARLIN,John Long,Sylvester Stallone,UNITED STATES,70000000,255000211.0,Carolco Pictures,"113.0,"
The Piano,R,Drama,1993,"February 11, 1994 (United States)",7.6,81000,JANE CAMPION,Jane Campion,Holly Hunter,NEW ZEALAND,7000000,40185556.0,CiBy 2000,"121.0,"
The Nightmare Before Christmas,PG,Animation,1993,"October 29, 1993 (United States)",8.0,306000,HENRY SELICK,Tim Burton,Danny Elfman,UNITED STATES,18000000,91491247.0,Touchstone Pictures,"76.0,"
Rookie of the Year,PG,Comedy,1993,"July 7, 1993 (United States)",6.1,26000,DANIEL STERN,Sam Harper,Thomas Ian Nicholas,UNITED STATES,10000000,56500758.0,Twentieth Century Fox,"103.0,"
"Blood In, Blood Out",R,Crime,1993,"April 30, 1993 (United States)",8.0,29000,TAYLOR HACKFORD,Ross Thomas,Damian Chapa,UNITED STATES,35000000,4496583.0,Hollywood Pictures,"180.0,"
In the Name of the Father,R,Biography,1993,"February 25, 1994 (United States)",8.1,163000,JIM SHERIDAN,Gerry Conlon,Daniel Day-Lewis,IRELAND,13000000,65796862.0,Hell's Kitchen Films,"133.0,"
Alive,R,Biography,1993,"January 15, 1993 (United States)",7.1,53000,FRANK MARSHALL,Piers Paul Read,Ethan Hawke,UNITED STATES,32000000,36733909.0,Film Andes S.A.,"120.0,"
Addams Family Values,PG-13,Comedy,1993,"November 19, 1993 (United States)",6.8,84000,BARRY SONNENFELD,Charles Addams,Anjelica Huston,UNITED STATES,47000000,48919043.0,Paramount Pictures,"94.0,"
Indecent Proposal,R,Drama,1993,"April 7, 1993 (United States)",6.0,66000,ADRIAN LYNE,Jack Engelhard,Robert Redford,UNITED STATES,38000000,266614059.0,Paramount Pictures,"117.0,"
In the Line of Fire,R,Action,1993,"July 9, 1993 (United States)",7.2,96000,WOLFGANG PETERSEN,Jeff Maguire,Clint Eastwood,UNITED STATES,40000000,176997168.0,Columbia Pictures,"128.0,"
The Age of Innocence,PG,Drama,1993,"October 1, 1993 (United States)",7.2,56000,MARTIN SCORSESE,Edith Wharton,Daniel Day-Lewis,UNITED STATES,34000000,32255440.0,Columbia Pictures,"139.0,"
Menace II Society,R,Crime,1993,"May 26, 1993 (United States)",7.5,54000,ALBERT HUGHES,Allen Hughes,Tyrin Turner,UNITED STATES,3500000,27912072.0,New Line Cinema,"97.0,"
Gettysburg,PG,Drama,1993,"October 8, 1993 (United States)",7.6,27000,RON MAXWELL,Michael Shaara,Tom Berenger,UNITED STATES,25000000,10769960.0,TriStar Television,"271.0,"
The Three Musketeers,PG,Action,1993,"November 12, 1993 (United States)",6.4,52000,STEPHEN HEREK,Alexandre Dumas,Charlie Sheen,AUSTRIA,30000000,53898845.0,Walt Disney Pictures,"105.0,"
Homeward Bound: The Incredible Journey,G,Adventure,1993,"February 12, 1993 (United States)",6.9,43000,DUWAYNE DUNHAM,Sheila Burnford,Michael J. Fox,UNITED STATES,0,41833324.0,Touchwood Pacific Partners 1,"84.0,"
The Secret Garden,G,Drama,1993,"August 13, 1993 (United States)",7.3,38000,AGNIESZKA HOLLAND,Frances Hodgson Burnett,Kate Maberly,UNITED KINGDOM,18000000,31181347.0,Warner Bros.,"101.0,"
Free Willy,PG,Adventure,1993,"July 16, 1993 (United States)",6.0,71000,SIMON WINCER,Keith Walker,Jason James Richter,UNITED STATES,20000000,153698625.0,Warner Bros. Family Entertainment,"112.0,"
RoboCop 3,PG-13,Action,1993,"November 5, 1993 (United States)",4.1,47000,FRED DEKKER,Edward Neumeier,Robert John Burke,UNITED STATES,22000000,10696210.0,Orion Pictures,"104.0,"
The Remains of the Day,PG,Drama,1993,"November 19, 1993 (United States)",7.8,69000,JAMES IVORY,Kazuo Ishiguro,Anthony Hopkins,UNITED STATES,15000000,23237911.0,Columbia Pictures,"134.0,"
Hard Target,R,Action,1993,"August 20, 1993 (United States)",6.2,46000,JOHN WOO,Chuck Pfarrer,Jean-Claude Van Damme,UNITED STATES,18000000,74189677.0,Universal Pictures,"97.0,"
Fire in the Sky,PG-13,Biography,1993,"March 12, 1993 (United States)",6.5,23000,ROBERT LIEBERMAN,Travis Walton,D.B. Sweeney,UNITED STATES,15000000,19885552.0,Paramount Pictures,"109.0,"
Cool Runnings,PG,Adventure,1993,"October 1, 1993 (United States)",7.0,96000,JON TURTELTAUB,Lynn Siefert,John Candy,UNITED STATES,14000000,154856263.0,Walt Disney Pictures,"98.0,"
Dave,PG-13,Comedy,1993,"May 7, 1993 (United States)",6.8,50000,IVAN REITMAN,Gary Ross,Kevin Kline,UNITED STATES,28000000,63270710.0,Warner Bros.,"110.0,"
Kalifornia,R,Crime,1993,"September 3, 1993 (United States)",6.7,52000,DOMINIC SENA,Stephen Levy,Brad Pitt,UNITED STATES,9000000,2395231.0,PolyGram Filmed Entertainment,"117.0,"
Benny & Joon,PG,Comedy,1993,"April 16, 1993 (United States)",7.2,56000,JEREMIAH S. CHECHIK,Barry Berman,Johnny Depp,UNITED STATES,0,23261580.0,Metro-Goldwyn-Mayer (MGM),"98.0,"
Sliver,R,Drama,1993,"May 21, 1993 (United States)",5.0,30000,PHILLIP NOYCE,Ira Levin,Sharon Stone,UNITED STATES,40000000,116300000.0,Paramount Pictures,"107.0,"
Rudy,PG,Biography,1993,"October 22, 1993 (United States)",7.5,59000,DAVID ANSPAUGH,Angelo Pizzo,Sean Astin,UNITED STATES,0,22881563.0,TriStar Pictures,"114.0,"
Coneheads,PG,Comedy,1993,"July 23, 1993 (United States)",5.3,52000,STEVE BARRON,Tom Davis,Dan Aykroyd,UNITED STATES,33000000,21274717.0,Paramount Pictures,"88.0,"
So I Married an Axe Murderer,PG-13,Comedy,1993,"July 30, 1993 (United States)",6.5,36000,THOMAS SCHLAMME,Robbie Fox,Mike Myers,UNITED STATES,20000000,11585483.0,TriStar Pictures,"93.0,"
Hot Shots! Part Deux,PG-13,Action,1993,"May 21, 1993 (United States)",6.6,86000,JIM ABRAHAMS,Jim Abrahams,Charlie Sheen,UNITED STATES,25000000,133752825.0,Twentieth Century Fox,"86.0,"
Much Ado About Nothing,PG-13,Comedy,1993,"July 2, 1993 (United States)",7.3,46000,KENNETH BRANAGH,William Shakespeare,Kenneth Branagh,UNITED KINGDOM,11000000,22549338.0,Renaissance Films,"111.0,"
The Crush,R,Drama,1993,"April 2, 1993 (United States)",5.8,17000,ALAN SHAPIRO,Alan Shapiro,Cary Elwes,UNITED STATES,6000000,13609396.0,Morgan Creek Entertainment,"89.0,"
Loaded Weapon 1,PG-13,Action,1993,"February 5, 1993 (United States)",6.2,45000,GENE QUINTANO,Don Holley,Emilio Estevez,UNITED STATES,13000000,27979399.0,New Line Cinema,"84.0,"
This Boy's Life,R,Biography,1993,"April 23, 1993 (United States)",7.3,49000,MICHAEL CATON-JONES,Tobias Wolff,Robert De Niro,UNITED STATES,0,4104962.0,Knickerbocker Films,"115.0,"
Three Colors: Blue,R,Drama,1993,"September 8, 1993 (France)",7.9,93000,KRZYSZTOF KIESLOWSKI,Krzysztof Kieslowski,Juliette Binoche,FRANCE,0,1341154.0,MK2 Productions,"94.0,"
Grumpy Old Men,PG-13,Comedy,1993,"December 25, 1993 (United States)",7.0,45000,DONALD PETRIE,Mark Steven Johnson,Jack Lemmon,UNITED STATES,0,70172621.0,John Davis,"103.0,"
A Perfect World,PG-13,Crime,1993,"November 24, 1993 (United States)",7.5,76000,CLINT EASTWOOD,John Lee Hancock,Kevin Costner,UNITED STATES,30000000,135130999.0,Warner Bros.,"138.0,"
Leprechaun,R,Comedy,1993,"January 8, 1993 (United States)",4.8,25000,MARK JONES,Mark Jones,Warwick Davis,UNITED STATES,900000,8556940.0,Trimark Pictures,"92.0,"
Malice,R,Crime,1993,"October 1, 1993 (United States)",6.4,24000,HAROLD BECKER,Aaron Sorkin,Alec Baldwin,CANADA,20000000,46405336.0,Castle Rock Entertainment,"107.0,"
What's Love Got to Do with It,R,Biography,1993,"June 25, 1993 (United States)",7.3,18000,BRIAN GIBSON,Tina Turner,Angela Bassett,UNITED STATES,15000000,39100956.0,Touchstone Pictures,"118.0,"
Short Cuts,R,Comedy,1993,"October 1, 1993 (Italy)",7.7,43000,ROBERT ALTMAN,Raymond Carver,Andie MacDowell,UNITED STATES,0,6110979.0,Fine Line Features,"188.0,"
Son in Law,PG-13,Comedy,1993,"July 2, 1993 (United States)",5.8,18000,STEVE RASH,Patrick J. Clifton,Pauly Shore,UNITED STATES,0,36448400.0,Hollywood Pictures,"95.0,"
Striking Distance,R,Action,1993,"September 17, 1993 (United States)",5.9,41000,ROWDY HERRINGTON,Rowdy Herrington,Bruce Willis,UNITED STATES,30000000,24107867.0,Columbia Pictures,"102.0,"
Searching for Bobby Fischer,PG,Biography,1993,"August 11, 1993 (United States)",7.4,37000,STEVEN ZAILLIAN,Fred Waitzkin,Joe Mantegna,UNITED STATES,12000000,7266383.0,Mirage Enterprises,"109.0,"
Matinee,PG,Comedy,1993,"January 29, 1993 (United States)",6.9,10000,JOE DANTE,Jerico Stone,John Goodman,UNITED STATES,13000000,9532895.0,Universal Pictures,"99.0,"
The Good Son,R,Drama,1993,"September 24, 1993 (United States)",6.4,37000,JOSEPH RUBEN,Ian McEwan,Macaulay Culkin,UNITED STATES,17000000,60613008.0,Twentieth Century Fox,"87.0,"
The Beverly Hillbillies,PG,Comedy,1993,"October 15, 1993 (United States)",5.0,18000,PENELOPE SPHEERIS,Paul Henning,Diedrich Bader,UNITED STATES,25000000,57405220.0,Twentieth Century Fox,"92.0,"
Beethoven's 2nd,PG,Comedy,1993,"December 17, 1993 (United States)",4.9,26000,ROD DANIEL,John Hughes,Charles Grodin,UNITED STATES,15000000,118243066.0,Northern Lights Entertainment,"89.0,"
Killing Zoe,R,Crime,1993,September 1994 (United States),6.5,20000,ROGER AVARY,Roger Avary,Eric Stoltz,FRANCE,1500000,418961.0,Davis-Films,"96.0,,"
Cronos,R,Fantasy,1993,May 1994 (United States),6.7,28000,GUILLERMO DEL TORO,Guillermo del Toro,Federico Luppi,MEXICO,2000000,621392.0,CNCAIMC,"94.0,,"
Geronimo: An American Legend,PG-13,Drama,1993,"December 10, 1993 (United States)",6.5,9900,WALTER HILL,John Milius,Jason Patric,UNITED STATES,35000000,18635620.0,Columbia Pictures,"115.0,"
Wayne's World 2,PG-13,Comedy,1993,"December 10, 1993 (United States)",6.2,79000,STEPHEN SURJIK,Mike Myers,Mike Myers,UNITED STATES,40000000,48198019.0,Paramount Pictures,"95.0,"
Point of No Return,R,Action,1993,"March 19, 1993 (United States)",6.1,26000,JOHN BADHAM,Luc Besson,Bridget Fonda,UNITED STATES,0,30038362.0,Warner Bros.,"109.0,"
Boxing Helena,R,Drama,1993,"September 3, 1993 (United States)",4.7,12000,JENNIFER LYNCH,Philippe Caland,Julian Sands,UNITED STATES,0,1796389.0,Mainline Pictures,"107.0,"
Romeo Is Bleeding,R,Crime,1993,"February 4, 1994 (United States)",6.6,13000,PETER MEDAK,Hilary Henkin,Gary Oldman,UNITED KINGDOM,11500000,3275585.0,Polygram Filmed Entertainment,"110.0,"
